10:55:13:806|0418-CustomStat: -CUSTOMSTATS_METADATA -Table {E2EDLY Stats} -ParentTable {components} -PrimaryKeyFields {Component,From,} -Fields {Component,STR,From,STR,To,STR,Delay,REAL,DelayMin,REAL,DelayMax,REAL,DelayMaxTime,STR,DelayAdjusted,REAL,DelayMaxAdjusted,REAL,DelayBaseline,REAL,Updates,INT,TotUpdates,REAL,RTTDelay,REAL,RTTDelayMin,REAL,RTTDelayMax,REAL,RTTDelayMaxTime,STR,RTTUpdates,INT,RTTTotUpdates,REAL,TimeStamp,STR,}
11:17:01:255|0043-TickData: RTTDelay,DM_DOCKER,R567 {5=5,6=1}
11:18:01:196|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {R567} -Component {R567} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {09:18:01:196}
11:18:01:197|0352-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {R567} -Component {R567} -YoungGenUse {66995} -YoungGenMax {2762752} -OldGenUse {28426} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {0} -MajCollCnt {0} -MinCollDur {0} -MajCollDur {0} -MinCollStw {0} -MajCollStw {0} -HeapAllocKBps {19} -TimeStamp {} -SupplyTimestamp {09:18:01:197}
11:18:01:281|0039-TickData: RTTDelay,DM_DOCKER,R567 {3=2}
11:19:01:198|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {R567} -Component {R567} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {09:19:01:198}
11:19:01:198|0351-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {R567} -Component {R567} -YoungGenUse {66995} -YoungGenMax {2762752} -OldGenUse {28426} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {0} -MajCollCnt {0} -MinCollDur {0} -MajCollDur {0} -MinCollStw {0} -MajCollStw {0} -HeapAllocKBps {0} -TimeStamp {} -SupplyTimestamp {09:19:01:198}
11:19:01:305|0040-TickData: RTTDelay,DM_DOCKER,R567 {2=2,}
11:20:01:200|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {R567} -Component {R567} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {09:20:01:200}
11:20:01:200|0351-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {R567} -Component {R567} -YoungGenUse {67526} -YoungGenMax {2762752} -OldGenUse {28426} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {0} -MajCollCnt {0} -MinCollDur {0} -MajCollDur {0} -MinCollStw {0} -MajCollStw {0} -HeapAllocKBps {8} -TimeStamp {} -SupplyTimestamp {09:20:01:200}
11:20:01:330|0040-TickData: RTTDelay,DM_DOCKER,R567 {2=2,}
